Height (m)  Dust Ext (/m)   Cloud Ext (/m)
100.000  3.45851e-05   6.5792356e-05
300.000  3.45851e-05   6.0185871e-05
500.000  3.45851e-05   3.3937861e-05
700.000  3.45851e-05   1.0352332e-05
900.000  3.45851e-05   1.1422367e-05
1100.00  3.37841e-05   1.3752125e-05
1300.00  3.20780e-05   1.8827145e-05
1500.00  3.11542e-05   2.8885211e-05
1700.00  3.03157e-05   4.7487964e-05
1900.00  2.95471e-05   7.0000002e-05
2100.00  2.82535e-05   9.2091124e-05
2300.00  2.81123e-05   0.00011577895
2500.00  2.69121e-05   0.00013710252
2700.00  2.64776e-05   0.00015780212
2900.00  2.65293e-05   0.00018159484
3100.00  2.57949e-05   0.00019919587
3300.00  2.56840e-05   0.00020949138
3500.00  2.53120e-05   0.00020739904
3700.00  2.45267e-05   0.00018745418
3900.00  2.51549e-05   0.00014662904
4100.00  2.33987e-05   4.6761491e-05
4300.00  2.39099e-05   1.0000000e-10
4500.00  2.29998e-05   1.0000000e-10
4700.00  2.22407e-05   1.0000000e-10
4900.00  2.04805e-05   1.0000000e-10
5100.00  1.90744e-05   1.0000000e-10
5300.00  1.78421e-05   1.0000000e-10
5500.00  1.49474e-05   1.0000000e-10
5700.00  1.45262e-05   1.0000000e-10
5900.00  1.38311e-05   1.0000000e-10
6100.00  1.10525e-05   1.0000000e-10
6300.00  1.24707e-05   1.0000000e-10
6500.00  9.35127e-06   1.0000000e-10
6700.00  1.04967e-05   1.0000000e-10
6900.00  9.75777e-06   1.0000000e-10
7100.00  1.28741e-05   1.0000000e-10
7300.00  1.19661e-05   1.0000000e-10
7500.00  1.28641e-05   1.0000000e-10
7700.00  1.29202e-05   1.0000000e-10
7900.00  1.34470e-05   1.0000000e-10
8100.00  1.40219e-05   1.0000000e-10
8300.00  1.53325e-05   1.0000000e-10
8500.00  1.47448e-05   1.0000000e-10
8700.00  7.19771e-06   1.0000000e-10
8900.00  5.42742e-06   1.0000000e-10
9100.00  8.52975e-06   1.0000000e-10
9300.00  5.33918e-06   1.0000000e-10
9500.00  6.55361e-06   1.0000000e-10
9700.00  1.06010e-05   1.0000000e-10
9900.00  4.92598e-06   1.0000000e-10
