Height (m)  Dust Ext (/m)   Cloud Ext (/m)
100.000   2.9804625e-05   3.2739851e-05
300.000   2.9804625e-05   6.8710487e-05
500.000   2.9804625e-05   5.0365253e-05
700.000   2.9804625e-05   7.3081923e-07
900.000   2.9804625e-05   1.0045286e-07
1100.00   2.9344560e-05   1.8042192e-07
1300.00   2.9106263e-05   1.8874947e-07
1500.00   2.9049255e-05   1.0000000e-10
1700.00   2.8677463e-05   1.0000000e-10
1900.00   2.8180440e-05   1.0000000e-10
2100.00   2.7950030e-05   1.9975471e-07
2300.00   2.7153033e-05   3.4191485e-07
2500.00   2.7215186e-05   7.7700733e-09
2700.00   2.7005008e-05   1.0000000e-10
2900.00   2.6609827e-05   1.0000000e-10
3100.00   2.6140079e-05   1.0000000e-10
3300.00   2.5721134e-05   1.0000000e-10
3500.00   2.5213509e-05   1.0000000e-10
3700.00   2.4869755e-05   1.0000000e-10
3900.00   2.4394167e-05   6.9264943e-07
4100.00   2.4032930e-05   8.0003006e-06
4300.00   2.3549767e-05   2.4005207e-05
4500.00   2.3221384e-05   3.9973326e-05
4700.00   2.2654584e-05   4.4354752e-05
4900.00   2.2503575e-05   2.6418220e-05
5100.00   2.2377852e-05   1.6173798e-05
5300.00   2.2326845e-05   1.0000000e-10
5500.00   2.2178602e-05   1.0000000e-10
5700.00   2.2803358e-05   1.0000000e-10
5900.00   2.2549909e-05   1.0000000e-10
6100.00   2.2196759e-05   1.0000000e-10
6300.00   2.2546824e-05   1.0000000e-10
6500.00   2.1880998e-05   1.0000000e-10
6700.00   2.1670923e-05   1.0000000e-10
6900.00   2.0601090e-05   1.0000000e-10
7100.00   2.0286336e-05   1.0000000e-10
7300.00   1.9918636e-05   1.0000000e-10
7500.00   1.9428544e-05   1.0000000e-10
7700.00   1.8554353e-05   1.0000000e-10
7900.00   1.6692594e-05   1.0000000e-10
8100.00   1.6303632e-05   1.0000000e-10
8300.00   1.5984809e-05   1.0000000e-10
8500.00   1.6241525e-05   1.0000000e-10
8700.00   1.5689697e-05   1.0000000e-10
8900.00   1.5835393e-05   1.0000000e-10
9100.00   1.5007638e-05   1.0000000e-10
9300.00   1.3515406e-05   1.0000000e-10
9500.00   1.3218675e-05   1.0000000e-10
9700.00   1.2050926e-05   1.0000000e-10
9900.00   1.0687293e-05   1.0000000e-10
